president,sentence
macri,Y al venir querer conocer y disfrutar de su gastronomía de sus paisajes de los deportes le va a dar trabajo a muchos argentinos a muchos habitantes de Junín y de San Martín de los Andes.
macri,De eso se trata: de construir juntos la infraestructura que nos permita desarrollarnos por eso hemos lanzado lo que creemos que es el plan de infraestructura más importante de nuestra historia que incluye muchísimas obras en cada provincia de la Argentina.
macri,Y recién mencionaba el Gobernador un proyecto anhelado hace tanto tiempo por los habitantes de San Martín que frente a cualquier emergencia tienen que trasladarse cientos de kilómetros y ellos necesitan tener un hospital; por eso hoy ya estamos en la etapa de los diseños finales para comenzar la construcción de ese tan esperado proyecto.
macri,Así como también habló de la cantidad de rutas que hemos puesto en marcha: ampliaciones transformarlas en rutas seguras en autovías repararlas; las más importantes sin duda son la 7 y la 51.
macri,Y también el proyecto del Parque Lineal Arroyo Pocahullo (siempre acá los nombres hay que mirarlos dos veces porque son medio complicados) que no sólo va a dar acceso al Arroyo sino que también va a generar un área de esparcimiento única para San Martín.
macri,Son muchos proyectos muchas cosas que podemos desarrollar juntos en esta nueva etapa que hemos comenzado en la Argentina hace poco más de un año en la cual hemos tenido que cruzar momentos difíciles porque claramente el punto de partida fue muy duro.
macri,Nos dejaron un país quebrado pero por suerte estamos nosotros los argentinos que decidimos salir adelante; decidimos que teníamos futuro y que lo íbamos a construir juntos entre todos y es lo que estamos haciendo.
macri,Este año después de más de cinco años de estancamiento en que el país no creció ni generó empleo vamos a volver a crecer.
macri,Ya hemos comenzado a generar empleo: de junio a noviembre del año pasado después de un primer semestre muy duro generamos más de 60 mil puestos de trabajo registrados.
macri,Esto va a continuar durante todo el año ¿y saben qué?
macri,Vamos a crecer en 2018 en 2019 y vamos a seguir bajando sistemáticamente la inflación que es lo que nos ha dañado tanto especialmente a los trabajadores porque a los que primero pega la inflación es a aquellos que no saben cómo protegerse de ella.
macri,Por eso estamos hoy acá para decirles que sigamos trabajando de esta manera todos juntos: Gobierno nacional provincial los intendentes la comunidad pensando y llevando a cabo las obras que necesitamos; que las obras vuelvan a ser sinónimo de esperanza de futuro de alegría y nunca más sinónimo de corrupción.
macri,Eso es a lo que nos hemos comprometido y es lo que estamos haciendo.
macri,Así que les agradezco a todos los muchachos que están haciendo esta obra acuérdense que desde el 1° de marzo por 45 días se cierra el aeropuerto y nada más que eso porque después viene la temporada y mucha gente depende de ustedes; de que ustedes hagan el trabajo en tiempo y forma para que el aeropuerto vuelva a funcionar.
macri,Confío en ustedes los argentinos confiamos en ustedes.
macri,Muchas gracias y buen día para todos.
macri,PALABRAS DEL PRESIDENTE DE LA NACIÓN MAURICIO MACRI DURANTE SU REUNIÓN CON UNA REPRESENTACIÓN DE EMPRESARIOS ARGENTINOS EN LA RESIDENCIA DE OLIVOS.
macri,Más allá de que la lluvia está jugándole una mala pasada – lamentablemente – a muchos los argentinos; hemos estado asistiendo y afectando nuestra capacidad productiva esperemos en un par de días paz.
macri,Muchas gracias por acompañarnos hoy me da una enorme alegría que estén acá y lo que quiero imaginar en el tiempo será un hito en la historia de esta nueva etapa en la Argentina; una etapa de una Argentina que vuelve al mundo y se presenta con reglas creíbles confiables que tiene un Estado y un Gobierno facilitador que espera acompañar a todos aquellos que quieren aprender que quieran crear que quieran realmente generar trabajo en nuestro país.
macri,Y quiero hablarles de esa nueva etapa pero antes también quiero que recordemos de dónde venimos para entender la transición que estamos recorriendo.
